query,coord_lon,coord_lat,weather,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust
"MANAUS, AMAZONAS, BRAZIL",-59.9825,-3.1316,"[{'id': 802, 'main': 'Clouds', 'description': 'nuvens dispersas', 'icon': '03d'}]",stations,32.25,37.05,32.25,32.26,1010,58,1010,1006,10000,3.6,110,40,1722098331,1,8412,BR,1722074828,1722117930,-14400,3663517,Manaus,200,
"GOIÂNIA, GOIAS, BRAZIL",-49.2533,-16.6809,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",stations,28.83,27.63,28.83,28.83,1016,28,1016,929,10000,3.09,0,0,1722098308,1,8372,BR,1722073411,1722114197,-10800,3462377,Goiânia,200,
"FORTALEZA, CEARA, BRAZIL",-38.5218,-3.7305,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",stations,29.4,36.4,28.86,29.4,1014,97,1014,1011,10000,6.88,102,6,1722098332,2,2089363,BR,1722069727,1722112729,-10800,6320062,Fortaleza,200,9.7
"VITORIA, ESPIRITO SANTO, BRAZIL",-72.7664,-8.3641,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",stations,37.04,37.53,37.04,37.04,1012,29,1012,987,10000,0.79,67,18,1722098332,,,BR,1722078333,1722120561,-18000,3662761,Vitoria,200,1.46
"BOA VISTA, RORAIMA, BRAZIL",-60.6723,2.8213,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",stations,24.99,25.71,24.99,24.99,1012,83,1012,1003,10000,1.03,300,75,1722098337,1,8340,BR,1722074499,1722118590,-14400,3664980,Boa Vista,200,
"NATAL, RIO GRANDE DO NORTE, BRAZIL",-35.2081,-5.8054,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",stations,26.11,26.11,26.11,26.36,1015,78,1015,1013,10000,8.75,150,75,1722098336,1,8417,BR,1722069105,1722111761,-10800,3394023,Natal,200,
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",-54.6163,-20.464,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",stations,33.07,30.94,33.07,33.07,1014,19,1014,950,10000,2.57,330,0,1722098212,1,8347,BR,1722075044,1722115138,-14400,3467747,Campo Grande,200,
"PALMAS, TOCANTINS, BRAZIL",-48.3338,-10.1836,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",stations,32.75,31.56,32.75,32.75,1013,29,1013,974,10000,4.63,100,0,1722098338,1,8419,BR,1722072624,1722114543,-10800,3474574,Palmas,200,
"RECIFE, PERNAMBUCO, BRAZIL",-41.8901,-11.0105,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",stations,29.38,28.26,29.38,29.38,1016,31,1016,947,10000,7.77,89,79,1722098335,,,BR,1722071148,1722112925,-10800,3461013,Recife,200,7.38
"CURITIBA, PARANA, BRAZIL",-49.2713,-25.4296,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",stations,24.55,24.11,22.88,25.05,1018,40,1018,912,10000,4.12,20,0,1722098335,2,2073418,BR,1722074244,1722113372,-10800,6322752,Curitiba,200,
