query,dt,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_sea_level,main_grnd_level,main_humidity,main_temp_kf,weather,clouds_all,wind_speed,wind_deg,wind_gust,visibility,pop,sys_pod,dt_txt,rain_3h
"VITORIA, ESPIRITO SANTO, BRAZIL",1722103200,37.67,37.96,37.67,37.67,1011,1011,985,27,0,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",16,1.02,72,1.47,10000,0,d,2024-07-27 18:00:00,
"CURITIBA, PARANA, BRAZIL",1722103200,24.55,24.08,24.47,24.55,1018,1018,912,39,0.08,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",0,0.89,40,1.69,10000,0,d,2024-07-27 18:00:00,0.36
"SAO LUIS, MARANHAO, BRAZIL",1722103200,25.7,26.49,25.7,25.7,1013,1013,933,83,0,"[{'id': 501, 'main': 'Rain', 'description': 'chuva moderada', 'icon': '10d'}]",74,1.76,167,2.27,10000,1,d,2024-07-27 18:00:00,3.87
"GOIÂNIA, GOIAS, BRAZIL",1722103200,28.83,27.63,28.83,31.67,1015,1015,928,28,-2.84,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",0,0.75,102,1.76,10000,0,d,2024-07-27 18:00:00,
"NATAL, RIO GRANDE DO NORTE, BRAZIL",1722103200,26.11,26.11,26.11,26.57,1015,1015,1012,78,-0.46,"[{'id': 500, 'main': 'Rain', 'description': 'chuva leve', 'icon': '10d'}]",75,6.78,141,9.87,10000,1,d,2024-07-27 18:00:00,1.12
"BOA VISTA, RORAIMA, BRAZIL",1722103200,24.99,25.71,24.99,30.66,1011,1011,1002,83,-5.67,"[{'id': 500, 'main': 'Rain', 'description': 'chuva leve', 'icon': '10d'}]",75,2.8,109,3.32,10000,1,d,2024-07-27 18:00:00,0.91
"ARACAJU, SERGIPE, BRAZIL",1722103200,27.91,28.44,26.35,27.91,1018,1018,1016,51,1.56,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,5.15,126,6.15,10000,0,d,2024-07-27 18:00:00,0.69
"RIO BRANCO, ACRE, BRAZIL",1722103200.0,34.3,35.95,34.3,38.4,1010.0,1010.0,992.0,40.0,-4.1,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,2.09,56,2.05,10000,0,d,2024-07-27 18:00:00,
"MACAPA, AMAPA, BRAZIL",1722103200,32.02,39.02,30.49,32.02,1011,1011,1010,66,1.53,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,3.67,54,5.2,10000,0,d,2024-07-27 18:00:00,0.12
"BELO HORIZONTE, MINAS GERAIS, BRAZIL",1722103200,24.55,24.05,24.55,27.43,1018,1018,910,38,-2.88,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",75,0.84,345,1.4,10000,0,d,2024-07-27 18:00:00,0.58
"RECIFE, PERNAMBUCO, BRAZIL",1722103200,29.22,28.06,29.22,29.22,1016,1016,947,30,0,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",82,7.84,95,7.32,10000,0,d,2024-07-27 18:00:00,
"PORTO VELHO, RONDÔNIA, BRAZIL",1722103200,34.03,39.15,34.03,37.93,1010,1010,1000,52,-3.9,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,2.06,116,3.28,10000,0,d,2024-07-27 18:00:00,0.27
"MANAUS, AMAZONAS, BRAZIL",1722103200,32.25,37.05,32.25,34.16,1009,1009,1005,58,-1.91,"[{'id': 802, 'main': 'Clouds', 'description': 'nuvens dispersas', 'icon': '03d'}]",40,1.12,74,3.22,10000,0,d,2024-07-27 18:00:00,0.14
"PALMAS, TOCANTINS, BRAZIL",1722103200,32.75,31.56,32.75,36.01,1012,1012,973,29,-3.26,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",0,1.85,98,2.85,10000,0,d,2024-07-27 18:00:00,
"BELEM, PARA, BRAZIL",1722103200,39.25,37.13,39.25,39.25,1009,1009,1002,15,0,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",10,2.14,144,2.72,10000,0,d,2024-07-27 18:00:00,0.96
"TERESINA, PIAUI, BRAZIL",1722103200,31.88,32.11,31.88,37.08,1010,1010,999,40,-5.2,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,2.65,130,4.37,10000,0,d,2024-07-27 18:00:00,
"FORTALEZA, CEARA, BRAZIL",1722103200,30.76,37.76,27.96,30.76,1014,1014,1011,74,2.8,"[{'id': 802, 'main': 'Clouds', 'description': 'nuvens dispersas', 'icon': '03d'}]",40,6.31,97,9.47,10000,0,d,2024-07-27 18:00:00,0.39
"PORTO ALEGRE, RIO GRANDE DO SUL, BRAZIL",1722103200,18.78,18.85,18.78,21.11,1016,1016,1013,82,-2.33,"[{'id': 803, 'main': 'Clouds', 'description': 'nublado', 'icon': '04d'}]",75,0.76,225,1.1,8114,0,d,2024-07-27 18:00:00,1.58
"SALVADOR, BAHIA, BRAZIL",1722103200,26.85,27.96,25.36,26.85,1019,1019,1018,61,1.49,"[{'id': 801, 'main': 'Clouds', 'description': 'algumas nuvens', 'icon': '02d'}]",20,6.12,109,6.88,10000,0,d,2024-07-27 18:00:00,0.18
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",1722103200,33.07,30.94,33.02,33.07,1013,1013,949,19,0.05,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",0,1.71,4,2.31,10000,0,d,2024-07-27 18:00:00,
"RIO DE JANEIRO, RIO DE JANEIRO, BRAZIL",1722103200,27.99,27.94,25.88,27.99,1018,1018,1020,44,2.11,"[{'id': 800, 'main': 'Clear', 'description': 'céu limpo', 'icon': '01d'}]",0,3.83,139,3.1,10000,0,d,2024-07-27 18:00:00,0.86
