record_id,query
00284dbb-779f-40ed-8a21-242f946fd6d3,"PORTO VELHO, RONDÔNIA, BRAZIL"
0717cbd7-f268-40da-9a29-cd1b5694092b,"SAO LUIS, MARANHAO, BRAZIL"
07f3bb60-96ec-42c1-8dbc-e65bd4179ae4,"JOAO PESSOA, PARAIBA, BRAZIL"
10e054d8-95e1-415f-a2ca-d3f70a551edd,"RIO BRANCO, ACRE, BRAZIL"
12c2358a-f54c-437e-9567-d6f1619e59d5,"RECIFE, PERNAMBUCO, BRAZIL"
15272e27-d3b7-48b2-9a6f-ca154a568817,"TERESINA, PIAUI, BRAZIL"
1701c241-bcb4-4e6e-bd34-346465a64880,"NATAL, RIO GRANDE DO NORTE, BRAZIL"
19cfa53f-304f-4278-90cb-46d10c45bc12,"SAO LUIS, MARANHAO, BRAZIL"
1c56dc31-f6b3-4dd7-9bec-7a580b731729,"SAO LUIS, MARANHAO, BRAZIL"
1c5cbad4-da9d-4e9b-a5cb-c246f49d1f7f,"FORTALEZA, CEARA, BRAZIL"
1d4200e8-5123-455c-ad57-9a349bca1398,"BOA VISTA, RORAIMA, BRAZIL"
2b7ef546-35a4-4174-807f-be338cd94541,"MACAPA, AMAPA, BRAZIL"
2c3b0c25-9633-4796-93f2-07a506bf3c6c,"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL"
2f675dc6-e974-4510-9a40-7e3caab6654d,"BELO HORIZONTE, MINAS GERAIS, BRAZIL"
301673db-2bde-4a8f-9052-8d0be05b1a25,"RIO BRANCO, ACRE, BRAZIL"
31ffc068-82a3-477f-b54b-05828c4948a0,"BELO HORIZONTE, MINAS GERAIS, BRAZIL"
351ccdbb-b3a9-4f12-8e7a-ef7e0dda1fa1,"RIO BRANCO, ACRE, BRAZIL"
359c21df-1231-4fb0-9924-d5df400ad552,"RECIFE, PERNAMBUCO, BRAZIL"
392eb114-a0e5-415d-8114-c0ea3c7d033b,"SALVADOR, BAHIA, BRAZIL"
39b6196f-7d66-4d5f-9941-6bc14bcef212,"MACEIO, ALAGOAS, BRAZIL"
42aa01ca-3893-4c72-b3b8-bde8ff667892,"BOA VISTA, RORAIMA, BRAZIL"
436ce0aa-211d-4d65-8373-e5eb17c647e1,"VITORIA, ESPIRITO SANTO, BRAZIL"
44d19572-1b95-487c-b122-979bd9e749f9,"BELO HORIZONTE, MINAS GERAIS, BRAZIL"
454e9a94-531e-4a6b-95d9-ba0ea062813e,"MANAUS, AMAZONAS, BRAZIL"
4ba6fc3f-04d6-4836-ab22-e58f4dc13da7,"CURITIBA, PARANA, BRAZIL"
561ed446-2889-4ffa-a820-b1ef0cde97f9,"FORTALEZA, CEARA, BRAZIL"
5ab4de90-7dd4-4447-86fb-14efc1129d79,"MACAPA, AMAPA, BRAZIL"
5acc15dd-ecac-48bc-9c18-46110b15e931,"ARACAJU, SERGIPE, BRAZIL"
5ebe9936-1d43-4731-a95d-1c022451ce0f,"CUIABA, MATO GROSSO, BRAZIL"
5f8374c5-ff21-4f5a-9d3a-11f4440cd9a9,"RECIFE, PERNAMBUCO, BRAZIL"
60f90f9c-b2be-42fa-90e0-3d058abac549,"PORTO ALEGRE, RIO GRANDE DO SUL, BRAZIL"
